U01 04/07/11 09:17:33 09:22:20
U02 04/07/11 20:31:54 20:32:48
U03 04/07/11 20:33:54 20:34:55
U02 04/07/11 20:39:13 20:40:28
U01 04/07/11 20:49:08 20:50:28
U01 04/07/11 20:54:28 20:55:57
U03 04/07/11 20:56:54 20:57:50
U01 04/07/11 23:49:11 23:54:14
U02 04/08/11 16:09:27 16:15:02
U01 04/08/11 16:23:58 16:28:32
U02 04/08/11 16:56:35 16:57:02
U02 04/08/11 17:00:10 17:00:17
U03 04/08/11 17:00:27 17:00:40
U03 04/09/11 10:32:07 10:35:21
U03 04/09/11 19:35:57 19:46:14
U03 04/09/11 20:19:53 20:50:13
U03 04/09/11 20:51:20 20:51:44
U01 04/10/11 08:44:35 08:46:56
U02 04/10/11 13:03:49 13:04:35
U01 05/21/11 09:47:07 09:48:46
U01 01/04/12 20:49:42 20:52:24
